platform,video_id,title,author,author_id,snapshot_date,view_count,like_count,comment_count,share_count,favorite_count,coin_count,danmaku_count,publish_date,tags,url
bilibili,BV1va8tzFEr8,历代爷爷孙子有名，父亲默默无闻的组合,一只玄九尘,11280389,2026-04-17,1776100,64090,5009,0,5643,-1,4489,2025-07-26,"历史,三国：谋定天下,三国SLG,三国",https://www.bilibili.com/video/BV1va8tzFEr8
bilibili,BV1qq421w79T,统一三国能有多难？上来就是绝境是种怎样的体验【率土01】,太阳星sunstar,11684621,2026-04-17,1459194,52770,948,0,5579,-1,513,2024-04-06,"曹操,战争,率土之滨,人文历史档案馆,SLG,游戏,历史,三国,太阳星,解说",https://www.bilibili.com/video/BV1qq421w79T
bilibili,BV19a5QzpES5,全明星⭐大乱斗 请选择你的英雄 【三国：谋定天下】,此乃益州好马,3546696898317284,2026-04-17,893194,5077,10,0,5549,-1,27,2025-04-22,"手机游戏,搞笑,娱乐,三国：谋定天下,电子竞技,slg,游戏,手游,三国谋定天下攻略,联动",https://www.bilibili.com/video/BV19a5QzpES5
bilibili,BV1sBntzXEEE,东西争霸，在中国历史上，到底存不存在,一只玄九尘,11280389,2026-04-17,1437827,64506,2105,0,5519,-1,1291,2025-09-25,"三国SLG,历史,三国：谋定天下",https://www.bilibili.com/video/BV1sBntzXEEE
bilibili,BV12NqaBfEZm,印度地理条件多少分？【地理大评分第22期：印度篇】,凯旋official,662281422,2026-04-17,772809,19577,3655,0,5343,-1,4544,2025-12-16,"九牧之野1218公测,人文,印度,何润东,九牧之野,真正能打的三国SLG,地理,世界,历史",https://www.bilibili.com/video/BV12NqaBfEZm
bilibili,BV1kBfoYnECR,难，咱们奉孝兄实在太难了,一只玄九尘,11280389,2026-04-17,3244347,80238,2844,0,5172,-1,1646,2025-01-25,"三国SLG,历史,三国：谋定天下,三国",https://www.bilibili.com/video/BV1kBfoYnECR
bilibili,BV19LqdBgErB,中美日航母实力对比，三国空战谁更胜一筹？,世界见闻录,316627722,2026-04-17,864733,47695,2119,0,4966,-1,2064,2025-12-19,"航母,社会,军事,首创三国空战SLG,策定九州打金服,不做牛马自由开打,三国群英传：策定九州,产业",https://www.bilibili.com/video/BV19LqdBgErB
bilibili,BV1PnpXzFE8P,你掉的是金taffy还是银taffy？,永雏塔菲,1265680561,2026-04-17,851697,46445,1027,0,4701,-1,266,2025-09-20,"三国：谋定天下,吴镇宇927三谋情义主题服,虚拟偶像,红包接龙,手机游戏,三谋,永雏塔菲,吴镇宇,策略游戏,三国SLG",https://www.bilibili.com/video/BV1PnpXzFE8P
bilibili,BV1Fm4y1c7wC,【不止三国，新晋登场】超燃！《率土之滨》无界版本主题曲《破晓》而来！,网易率土之滨手游,401542445,2026-04-17,1493193,15545,484,0,4692,-1,14,2022-10-28,"手游,新晋登场,SLG,无界,率土之滨,网易游戏",https://www.bilibili.com/video/BV1Fm4y1c7wC
bilibili,BV1BKqHBEEPa,我以为日本片都是演的，谁知道是真的？日本桃色业凭啥第一？,魏武挥鞭否,307367742,2026-04-17,635346,9025,666,0,4610,-1,1326,2025-12-18,"日本文化,猎奇,九牧之野1218公测,真正能打的三国SLG,九牧之野,历史冷知识,黑船事件",https://www.bilibili.com/video/BV1BKqHBEEPa
bilibili,BV18NTkzvEKt,怎么有slg游戏给玩家送一亿？给丹宝整魔怔了！,渣渣辉TD,480363051,2026-04-17,1697221,1276,5,0,4575,-1,12,2025-06-10,"渣渣辉TD,三国志战略版,李乃文很需要这笔钱",https://www.bilibili.com/video/BV18NTkzvEKt
bilibili,BV1HS421R7d5,b站这回爽了，一个游戏让股票暴涨11%！我倒要看看有多厉害！【三国谋定天下】,何必Hebee,2829782,2026-04-17,1143360,26624,431,0,4431,-1,261,2024-07-03,"手游,三谋,SLG,三国演义,游戏杂谈,暑假,策略游戏,三国,三国：谋定天下,貂蝉",https://www.bilibili.com/video/BV1HS421R7d5
bilibili,BV1GH4y1k7ss,玩到真三国！带你一口气看完挑战从零霸服率土之滨！,一叮当猫一,450882837,2026-04-17,805075,17522,476,0,4160,-1,1640,2023-12-08,"策略游戏,挑战,游戏,SLG游戏,游戏解说,率土之滨,三国,手机游戏,整点电子榨菜,搞笑",https://www.bilibili.com/video/BV1GH4y1k7ss
bilibili,BV1eK44z7Epc,这才是新时代SLG的新卷法！,CCheny6,19584552,2026-04-17,960205,7094,556,0,4056,-1,1172,2025-10-11,"网络游戏,不做牛马自由开打,moba,三国,新游咨询,slg,rts,手机游戏,三国群英传：策定九州,策定九州公测开启",https://www.bilibili.com/video/BV1eK44z7Epc
bilibili,BV16uUrBMEro,《三国：天下归心》×非遗剪纸 ▏刀剪镂刻方寸乾坤，携手共铸“三足鼎立”,三国天下归心,3546800285813343,2026-04-17,72651,4961,44,0,4006,-1,29,2025-11-24,"国战游戏,slg游戏,非遗,剪纸,非遗剪纸,三国：天下归心,新游推荐",https://www.bilibili.com/video/BV16uUrBMEro
bilibili,BV1j7421d7db,这谁顶得住?现在国产三国都变成这样了？？？,日向源,154113956,2026-04-17,750141,12373,113,0,3907,-1,381,2024-06-12,"沙雕,童年回忆杀,怀旧,三国演义,手游,三国：谋定天下,三国,SLG,策略游戏,三谋",https://www.bilibili.com/video/BV1j7421d7db
bilibili,BV1hZ64BfEPw,2026开春就倒贴送钱？ 丞相借东风助我匡扶汉室！,钢铁直男必老板,3116281,2026-04-17,258901,9609,86,0,3854,-1,21,2026-02-01,"能秀操作的三国SLG,游戏杂谈,诸葛亮,唐国强,手机游戏,唐国强亿元东风福利,三国群英传策定九州,匡扶汉室,游戏推荐,搞笑",https://www.bilibili.com/video/BV1hZ64BfEPw
bilibili,BV12AFSzeEvE,人人有枪，却不敢反抗！美国啥时候能出现黄巾起义？,魏武挥鞭否,307367742,2026-04-17,631779,4407,276,0,3852,-1,555,2026-02-10,"美国,原创,历史,九州新赛季赤壁之战,能秀操作的三国SLG,唐国强亿元东风福利,北美懦夫,三国群英传：策定九州,特朗普,斩杀线",https://www.bilibili.com/video/BV12AFSzeEvE
bilibili,BV1wjcvzpEST,沦陷七年一朝光复！大耳朵图图迷的反殖民之路！【神奇组织12】,喵喵即正义,3494376638516086,2026-04-17,589654,22666,981,0,3823,-1,677,2026-02-12,"九州新赛季赤壁之战,能秀操作的三国SLG,唐国强亿元东风福利,三国群英传：策定九州,硬核狠人,小约翰,神奇组织,孙笑川,抽象艺术,贴吧",https://www.bilibili.com/video/BV1wjcvzpEST
bilibili,BV1nS421d7AB,中国SLG的谋略有多恐怖？,CCheny6,19584552,2026-04-17,3976430,93762,1192,0,108179,-1,3528,2024-07-15,"三国演义,网络游戏,国产游戏,策略游戏,手游,游戏杂谈,SLG,游戏解说,三国,三国：谋定天下",https://www.bilibili.com/video/BV1nS421d7AB
bilibili,BV1e8411H7AB,【手游分享】十二款巨过瘾的耐玩手机游戏  良心推荐！！！,槑术游戏屋,493701844,2026-04-17,1008720,37117,1111,0,15769,-1,1201,2022-12-24,"动作游戏,推荐宝藏游戏,游戏视频,冒险游戏,Steam,良心推荐,RPG,策略游戏,FPS",https://www.bilibili.com/video/BV1e8411H7AB
bilibili,BV1b441197nb,【手游推荐】推荐8款手机上的精品战争策略类手游,Han4m4n,289681452,2026-04-17,1173245,21250,1199,0,13041,-1,2555,2019-08-22,"战争,手游,游戏推荐,策略,bilibili新星计划",https://www.bilibili.com/video/BV1b441197nb
bilibili,BV13q4y1a76x,两款质量不错的类钢铁雄心手游！强烈推荐！！不容错过！！！,LUMINAcmrp月岸雪,621230569,2026-04-17,810785,16583,734,0,11928,-1,463,2022-04-06,"娱乐,P社,独立游戏,单机游戏,钢铁雄心,单机,游戏推荐,手游推荐,策略游戏,游戏知识",https://www.bilibili.com/video/BV13q4y1a76x
bilibili,BV1Rc41167qr,咒术回战手游《咒术回战幻影游行》安卓/IOS保姆级下载/汉化教程,魔游社,387814104,2026-04-17,329761,6874,436,0,11670,-1,119,2023-11-21,"回合制手游,手游推荐,策略卡牌游戏,咒术回战,咒术回战手游",https://www.bilibili.com/video/BV1Rc41167qr
bilibili,BV1hw411n7go,咒术回战手游《咒术回战幻影游行》安卓/IOS详细下载/汉化/进游戏/账号教程，以及常见问题解答！！,魔游社,387814104,2026-04-17,259767,5779,609,0,11418,-1,117,2023-11-23,"五条悟,二次元,咒术回战手游,咒术回战,手游推荐,卡牌策略,回合制手游",https://www.bilibili.com/video/BV1hw411n7go
