game_id,game_name,review_id,author,author_id,score,content,device,spent,ups,downs,publish_time,sentiment,mentioned_games
139546,三国志·战略版,48376968,,,4,手气又好了，昨天四抽两橙（sp皇甫嵩、黄忠），今天半价出太史慈，两天三橙，可以了,,玩过,0,0,1776354002,,
139546,三国志·战略版,48370562,,,5,后期各种低价卖号的导致满红泛滥，充月卡成了笑话,,玩过,0,0,1776303330,,
139546,三国志·战略版,48365069,,,4,说点个人观点吧，非杠，杠就是你对，谢谢<br />虽然我平时也没少喷策划，还曾经在世界频道上激情开麦问候ch的户口本（好像是我连续吃了两次保底，破防了那回，哈哈哈）但平胸而论，最近这段时间（特指半年到一年吧）策划还是有在做事的，很多改动都蛮不错，值得表扬<br />特别是定期加强老将这一点，别的slg真的很难做到。就拿我去年玩过一段时间的某slg来说吧，核心武将基本不存在保值这一说，过一个赛季就是一波阵容大换血，虽然抽卡价格低 但你想保持强度 花在凑武将上的钱反而比三战多很多<br />但三战的很多武将 就是过了五六个赛季甚至好几年还有强度的 看公众号官方现在甚至要去打捞一批s1的武将了 确实是难得可贵了,,玩过,0,0,1776239082,,
139546,三国志·战略版,19166112,,,2,这游戏玩的贼无聊，前期还挺热闹人多，过了一个月基本没人了。抽卡还是那个鸟样，这游戏已经开始走下坡了，以前每天三个两个区，天天爆满，现在两个区一个鬼区一个一个月后成鬼区。可以体验一个赛季，后面就不要玩了，没任何体验，除非每个赛季氪个上万。,,玩过,0,0,1670711611,,
139546,三国志·战略版,48339990,,,1,这种类型的游戏感觉纯是花钱找罪受，和传奇一样，不充钱就只能当氪佬的沙包,,玩过,0,0,1775979106,,
139546,三国志·战略版,48327251,,,5,不知不觉玩了四年，微信里多了200多个三战好友，都是外交和盟里加的，偶尔翻翻朋友圈看看游戏里这些朋友的另一面，觉得也挺有意思的，尤其是一些妹子，照片那么软萌，游戏里外交的时候是真硬,,玩过,0,0,1775884286,,
139546,三国志·战略版,48322319,,,5,过去一年，我觉得比较好的改动，希望策划能再接再厉<br />1.求贤累计，属实是未曾设想的道路了，我都没料到策划能这么良心。以前求贤值到上限了就不会再往上涨了，所以暂时没有自己想要的兑换武将的话多出来的求贤值就只能浪费的，现在不存在这个问题了<br />2.一键寻访，自动铺路。都是降肝，减少重复劳动的优化。说实话，以前大家热衷于手动铺路，一是口罩那几年实在无聊，二是金主实在太舍得花钱了。但到了后期各种铺路组通宵工作，开荒也搞得大家很累，就有点过犹不及了<br />3.送皮肤 what can i say 只能说老板大气<br />4.送武将/送赏金 yysy以后最好能多点曹操服这样的主题服（大胆预测一下。刘备服？诸葛亮服？孙权服？命名武将人手一张赛季体验卡哈哈哈），减轻大家前期凑阵容的负担<br />5.加强老将 这就无需多言了 最近的武将长青计划搞得也挺好的,,玩过,0,0,1775835631,,
139546,三国志·战略版,48315495,,,4,典藏出sp马超了怎么说，还是得搏，不搏哪有别墅靠大海的机会,,玩过,0,0,1775791512,,
139546,三国志·战略版,48312107,,,5,换了几个手机一直存在的游，可能不是最好玩的，但一定很经典,,玩过,0,0,1775748716,,
139546,三国志·战略版,48305348,,,4,还行，心态佛系其实也没啥肝的，毕竟三战没有日常,,玩过,0,0,1775704378,,
