platform,video_id,comment_id,author,author_id,content,like_count,reply_count,publish_time,ip_location,sentiment,mentioned_games
youtube,9XalPdfYFo4,Ugz39FJSLqkak40GB7V4AaABAg,@陳聚會-o9f2h,UCv5ZCtcwCLCGlexYFPELvog,🎉🎉🎉🎉🎉,1,0,3 months ago,,,
youtube,9XalPdfYFo4,UgzfKQG6UeQndPyEvt54AaABAg,@a979081,UCLX83DJZMUIKgNS0WcfpR5A,看到這個MV 回鍋看一下,0,0,2 months ago,,,
youtube,9XalPdfYFo4,Ugw5d8kl6kUUnwK3u4F4AaABAg,@銀羽獵師,UCeK10iy85cEVdXZOxIbU3WQ,"點進來剛好是這個遊戲的廣告
聽兩次賺🎉",0,0,2 months ago,,,
youtube,9XalPdfYFo4,UgwFifgQo6nLG2Eqn4N4AaABAg,@晴空-h4v,UCWnQvSDMfQeZeaHIKXAFA_g,這首歌花了我好多錢,0,0,2 months ago,,,
youtube,9XalPdfYFo4,UgzgOmKmXs4o6kFOfax4AaABAg,@zavess1,UCJnArykMWkxxGWAyIKHd2iQ,其實不用花這錢，回饋玩家比較重要😅,3,0,3 months ago,,,
youtube,9XalPdfYFo4,Ugxr8duY8cfldat8QMh4AaABAg,@LilMoz0111,UC3MKRCBrOkP0Kxd8MrEkIfg,"編曲差點意思，流行樂比例大過古風，
伴奏感覺可以多點古箏、蕭、琵琶、古琴....等等，
歌詞感覺可以找方文山或GAI這種研究於中華詩詞的人來填寫，
歌唱者沒話說 A-Lin T0等級",3,0,3 months ago,,,
youtube,9XalPdfYFo4,UgzWyYFgxsWlj4982kl4AaABAg,@曾詠頴,UCk3lBN1CTCfYlUh7V1BAbpQ,音樂大過人聲太多了,1,0,2 months ago,,,
youtube,9XalPdfYFo4,UgwiTI1JU1cR-PrObwp4AaABAg,@欧成-v3k,UC0MXZtxjyL4pVa-Z2GCNq-A,有點像AI唱😂,0,0,2 months ago,,,
youtube,9XalPdfYFo4,UgzmaSivdkDMoNYgCSl4AaABAg,@dneolin1758,UCl-YAoEzmoOx_IZFskt2pjg,這首歌，資本介入太多？😅,1,0,2 months ago,,,
youtube,9XalPdfYFo4,UgyWv1l5O8wav8yPbat4AaABAg,@TheUoyevoli77,UCN6QLP0zB1R81tbnrfAThbQ,鎖卡遊戲,1,0,2 months ago,,,
youtube,9XalPdfYFo4,UgyhEFEAQl-nTfzRmg14AaABAg,@kamanchoi1887,UCNtcVLpZJO0icWx7n10xOgg,就歌詞聽起來不流暢，可惜了,0,0,2 months ago,,,
youtube,9XalPdfYFo4,UgwsvR0IDY1HQK9guJp4AaABAg,@bchearter,UCYhVBKh64xZgwG-kqOJzHxg,"整个mv没有提作词作曲，难道是ai做的？
千变千里千万千军，千天千年。。。这货是多喜欢用“千”字？😂",0,0,2 months ago,,,
youtube,9XalPdfYFo4,UgyRiH_aIY3Jogtx7mZ4AaABAg.ARjVQgXFw4WARqXyGjyc6B,@EFD9037,UCteZ78cGHqOQvkWmCvJeJxQ,你甚麼咖 邊仔紅甘啦,3,0,3 months ago,,,
youtube,9XalPdfYFo4,UgyRiH_aIY3Jogtx7mZ4AaABAg.ARjVQgXFw4WASdcE_f1K70,@LiYan_Studio,UCLdLKasdxG3qEKxmJZdTQLQ,​ @EFD9037 😂我也贊助不少,2,0,2 months ago,,,
youtube,9XalPdfYFo4,UgyXRGtCH5b1XpFBQrx4AaABAg.ARhmoZWsnG6ARiTyHEyz-6,@張同學-z9k,UCeeF-UIem8ifQ_DtxlsNctw,謝謝 大佬,2,0,3 months ago,,,
youtube,9XalPdfYFo4,UgxgfQBoHg5wG7EMVVF4AaABAg.ARhwl9kFKdxARrbS6XzTPJ,@Rain-mp3ru,UCm0VDtLWX-A79dIG_HTEZaQ,歌手絕對沒問題，但歌我只聽一遍就不想聽二遍了。,1,0,3 months ago,,,
youtube,9XalPdfYFo4,UgwaKKzfTDES6rWOMIZ4AaABAg.ARsRbthntXkASdcCKHIZpw,@LiYan_Studio,UCLdLKasdxG3qEKxmJZdTQLQ,謝謝❤,0,0,2 months ago,,,
