platform,video_id,comment_id,author,author_id,content,like_count,reply_count,publish_time,ip_location,sentiment,mentioned_games
youtube,OiN5f7DT1Og,UgyEk88cTUXSG8YVr954AaABAg.9GYwIGd2dB09Gb7t_P5amQ,@佩骐,UCUHKtaGaatsq4Dsqu25R_9Q,总觉得似曾相识，原来是网游rise kingdoms,1,0,5 years ago (edited),,,
youtube,OiN5f7DT1Og,UgyEk88cTUXSG8YVr954AaABAg.9GYwIGd2dB09GbB5c-HX6N,@mpmaple256,UCupb8twIWbvbxMosoMA1zig,適合是指木蘭無長兄的部分嗎,1,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgyEk88cTUXSG8YVr954AaABAg.9GYwIGd2dB09Gex5z6dJAE,@1013blackcat,UCLXooMMNNzZQdOysgKKyuhg,拜託不要，Mulan那糟糕的劇情改編不值得,1,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgyaHvLOjQXWRcnyash4AaABAg.9GaTEfRCc5h9GqpuCk6v_P,@珍奇,UCxRb2uCTL2m1J6iZPKCw_7Q,+1111,7,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgyaHvLOjQXWRcnyash4AaABAg.9GaTEfRCc5h9GrxY3m1-Fl,@kimfokyap4663,UCwH3zLKXARmnTbAcsGB7_Ig,+1,7,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgyaHvLOjQXWRcnyash4AaABAg.9GaTEfRCc5h9Gs503Q4QYz,@shuikingwong9492,UCmzHQUxcosd5g0cTa_Sy8QA,+1111111,7,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgyaHvLOjQXWRcnyash4AaABAg.9GaTEfRCc5h9GsMXg6gMwj,@lomui6324,UCiB5kWHp7UI5sytnQYhjFSg,我也是,7,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgyaHvLOjQXWRcnyash4AaABAg.9GaTEfRCc5h9GsTnc0HLwF,@christychan6433,UC_lxlQTSkL-qzTZXJZlSkfw,+111111111111111111,7,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgyaHvLOjQXWRcnyash4AaABAg.9GaTEfRCc5h9GurNxIFxf2,@Xianyu仙優,UCO2ngL3kd_nvB_9gJuGYvRw,+9 幫你湊成10,7,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgyaHvLOjQXWRcnyash4AaABAg.9GaTEfRCc5h9GurtOvi42a,@charlenepui6039,UC9dhf17xmRMw8wXYHU-xVtw,我也是,7,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgyaHvLOjQXWRcnyash4AaABAg.9GaTEfRCc5h9Guu6Tg3H0g,@boonqiaowee8982,UCjf0KTilI470wHhsVTUqlTA,＋111,7,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgyaHvLOjQXWRcnyash4AaABAg.9GaTEfRCc5h9GttvGjj5iV,@kaichi4647,UCrPV8v27bzi95Srt4Rh7oOg,+1😍,6,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgyaHvLOjQXWRcnyash4AaABAg.9GaTEfRCc5h9GuoH-GVpST,@刘世好,UC1kKuscV5FrvP6C_7pKjBQw,我也是,6,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgyaHvLOjQXWRcnyash4AaABAg.9GaTEfRCc5h9Guzei0PhfK,@williamchoi1100,UCgEcASBwDhBkfG2c3L862EA,+222,5,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgyaHvLOjQXWRcnyash4AaABAg.9GaTEfRCc5h9H1ANMDrfRh,@mizziechong7106,UClEjJBUR2Jr33ReDXyM0YNQ,一样,5,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgyaHvLOjQXWRcnyash4AaABAg.9GaTEfRCc5h9HTM7GCGFTO,@freelife221,UCdN_gK18wZRk-z9InQ5L9nQ,+1,4,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgyaHvLOjQXWRcnyash4AaABAg.9GaTEfRCc5h9JDbcALAjuu,@小蟹仔星星,UC-ZGheUwW0N1bmLm2hjE_9A,+1,3,0,5 years ago,,,
youtube,OiN5f7DT1Og,UgyaHvLOjQXWRcnyash4AaABAg.9GaTEfRCc5h9JW2JWeI3nM,@Coupon1231,UCyPApqrBwf6U867g4ec4NGw,没有之一,1,0,5 years ago,,,
