platform,video_id,comment_id,author,author_id,content,like_count,reply_count,publish_time,ip_location,sentiment,mentioned_games
youtube,CEkwIr1eNNA,UgyRhTXWhoImy7vOScd4AaABAg.AI3GkMxMfCMAI4OMjuunFq,@カニカマ-e2u,UCRumO4QcOOUBzDC4bPWFpYw,ラジオ感覚で聴いてます,14,0,11 months ago,,,
youtube,CEkwIr1eNNA,UgyRhTXWhoImy7vOScd4AaABAg.AI3GkMxMfCMAOMB9GtspfD,@toshichika720,UCHxbWUijPXLF2KvKYwMjOmA,笑笑笑笑笑笑笑笑笑笑,1,0,6 months ago,,,
youtube,CEkwIr1eNNA,UgyRhTXWhoImy7vOScd4AaABAg.AI3GkMxMfCMAUJUgQFAPiW,@北郷宋徳-n7f,UCuFsBIq4FFDp6fp5IWBj-Tg,いつもみてます,1,0,1 month ago,,,
youtube,CEkwIr1eNNA,UgyRhTXWhoImy7vOScd4AaABAg.AI3GkMxMfCMAI3_he6Xp--,@太郎太郎-v3m,UCm24c0KdN8hXFUuzB4ctnpA,本物やんけ笑,35,0,11 months ago,,,
youtube,CEkwIr1eNNA,UgyRhTXWhoImy7vOScd4AaABAg.AI3GkMxMfCMAV6e6zlzJrp,@セルリアンブルー-d8x,UCczvdTjKxCypBW3wovFs3xA,あわてるな　孔明の罠だ,0,0,2 weeks ago,,,
youtube,CEkwIr1eNNA,UgyRhTXWhoImy7vOScd4AaABAg.AI3GkMxMfCMAI5hxhL2sBL,@Reggae2140,UC3lwDE6N9UupEjieb3qGijA,チャンネル登録しておきました！,4,0,11 months ago,,,
youtube,CEkwIr1eNNA,UgyRhTXWhoImy7vOScd4AaABAg.AI3GkMxMfCMAI7hBREE-UT,@アマダハルミ,UC3qvPZbVJBvXiarWNQnp7Og,"日本の卑弥呼の時代も、興味深い
物語が、ありますよ。
私の、家の近くにも、遺跡があります。",4,0,11 months ago,,,
youtube,CEkwIr1eNNA,UgyRhTXWhoImy7vOScd4AaABAg.AI3GkMxMfCMAI4aMZDAQqG,@FuriousRajang,UC0oOymCVzBIJPW3-RaQ9J-g,どちらのチャンネルも登録して見てます😆,6,0,11 months ago,,,
youtube,CEkwIr1eNNA,UgyRhTXWhoImy7vOScd4AaABAg.AI3GkMxMfCMAKpJp38rbUA,@太陽-h4c,UCB7BgxHNFhS_VYOFZhttcwQ,三国志っていつ試験ででるの？,2,0,8 months ago,,,
youtube,CEkwIr1eNNA,UgyRhTXWhoImy7vOScd4AaABAg.AI3GkMxMfCMAKpLAp9jE8m,@Alfort.,UCDZDuJOLF6INDPjQWOe3lFw, @太陽-h4c 10年後くらいにはリアルで出るかもね〜🤤,1,0,8 months ago,,,
youtube,CEkwIr1eNNA,UgyRhTXWhoImy7vOScd4AaABAg.AI3GkMxMfCMAI4PMddljbk,@なねこ-s9g,UC20c1msWHTFqhGOJthomJ3A,"中田さん、紹介者に徹してもらいたいと思いますね。影響力が
大きい方なので、おかしな道に迷い込まず、歴史紹介専門であられますように。",6,0,11 months ago (edited),,,
youtube,CEkwIr1eNNA,Ugy6X3mWLhyz_N7MFjx4AaABAg,@sodendenden,UCkujvl3ijStERgMH67S-IeA,聞いてて1番面白い三国志がYouTube大学の三国志！,7,0,11 months ago,,,
youtube,CEkwIr1eNNA,UgwsnD48r2XeBzl7S514AaABAg,@ふかくさ-m9c,UCuJOItsjmtpqR3IGc1hEYuA,いや、昨日一気見したばっかりなんよ😂もう一周いきまーす💕,38,0,11 months ago,,,
youtube,CEkwIr1eNNA,UgzkhviEbvaVuVlNoUd4AaABAg,@cat.dog.daisuki,UCfwIO_5xdb3Zo9R_LiXCeUw,"勉強なんですけど、大枠でお笑いである事を守ってますね！
面白かったです！",6,0,11 months ago,,,
